Teacher,Gradebook,Department,Student ID,Student Name,Grade Level,Team,Counselor,MP2 Average,MP2 Letter Grade,FG Average,FG Letter Grade
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,23,"Khan, Salman",11,,"Howard, Jenna",94.72%,A,94.96,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,27,"Horan, Niall",11,,"Howard, Jenna",100.57%,A+,98.39,A+
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,73,"Colbert, Stephen",11,,"Petzold, Alexa",95.93%,A,95.92,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,81,"Downey, Robert",11,,"Petzold, Alexa",96.19%,A,95.8,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,85,"Gentili, Danilo",11,,"Petzold, Alexa",96.11%,A,96.01,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,86,"Sangalo, Ivete",11,,"Casamento, Steven P",95.29%,A,94.4,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,94,"Black, Jack",11,,"Casamento, Steven P",94.63%,A,89.37,B+
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,115,"Lima, Gusttavo",11,,"Casamento, Steven P",84.78%,B,89.34,B+
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,122,"Curtis-Smith, Anne",11,,"Casamento, Steven P",99.84%,A+,97.02,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,131,"Legend, John",11,,"Donnelly, Marin",92.61%,A,94.06,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,144,"Vieira, Marcelo",11,,"Donnelly, Marin",98.75%,A+,97.73,A+
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,164,"Smith, Ludacris",11,,"Donnelly, Marin",96.24%,A,96.07,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,182,"AlAbdullah, Rania",11,,"Schneider, Cristina",97.71%,A+,96.56,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,188,"Clifford, Michael",11,,"Schneider, Cristina",98.29%,A+,96.85,A
"Garretson, Danielle","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,199,"Jepsen, CarlyRae",11,,"Schneider, Cristina",96.2%,A,95.35,A
"Garretson, Danielle","AR5410/2 - Photography, MTWF, Per. 2 (FY)",Fine Arts,33,"Tomlinson, Louis",11,,"Howard, Jenna",97.51%,A+,97.61,A+
"Garretson, Danielle","AR5410/2 - Photography, MTWF, Per. 2 (FY)",Fine Arts,67,"Raina, Suresh",11,,"Casamento, Steven P",93.07%,A,93.99,A
"Garretson, Danielle","AR5410/2 - Photography, MTWF, Per. 2 (FY)",Fine Arts,110,"Bryant, Kobe",11,,"Casamento, Steven P",95.04%,A,95.72,A
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,4,"Ronaldo, Cristiano",11,,"Howard, Jenna",98.76%,A+,97.63,A+
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,12,"Neymar, Rinaldo",11,,"Howard, Jenna",97.88%,A+,97.14,A
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,22,"Kumar, Akshay",11,,"Howard, Jenna",90.16%,A-,89.92,A-
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,41,"O'Brien, Conan",11,,"Petzold, Alexa",94.36%,A,93.33,A
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,52,"Rahman, Bill",11,,"Petzold, Alexa",84.83%,B,89.52,A-
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,64,"Martin, Ricky",11,,"Petzold, Alexa",71.78%,C-,78.34,C+
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,109,"Aguero, Sergio",11,,"Casamento, Steven P",97.41%,A,96.01,A
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,140,"Akhtar, Farhan",11,,"Donnelly, Marin",82.08%,B-,85.21,B
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,172,"Maher, Bill",11,,"Schneider, Cristina",80.8%,B-,86.15,B
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,194,"Bisbal, David",11,,"Schneider, Cristina",98.64%,A+,96.52,A
"Garretson, Danielle","AR5410/3 - Photography, MTWR, Per. 1 (FY)",Fine Arts,201,"Delevingne, Cara",11,,"Schneider, Cristina",90.68%,A-,91.84,A-
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,5,"Swift, Taylor",11,,"Howard, Jenna",95.1%,A,94.8,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,15,"Shakira, Shakira",11,,"Howard, Jenna",94.35%,A,94.68,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,32,"Crowe, Cameron",11,,"Howard, Jenna",94.35%,A,94.08,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,35,"Jenner, Kendall",11,,"Howard, Jenna",93.92%,A,93.41,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,47,"Harris, Neil",11,,"Petzold, Alexa",93.39%,A,94.3,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,84,"Kutcher, Ashton",11,,"Petzold, Alexa",93.86%,A,92.54,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,105,"Yılmaz, Cem",11,,"Casamento, Steven P",97.25%,A,96.03,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,119,"Leitte, Claudia",11,,"Casamento, Steven P",98.05%,A+,96.53,A
"Garretson, Danielle","AR5410/4 - Photography, MTWF, Per. 6 (FY)",Fine Arts,197,"Bonner, William",11,,"Schneider, Cristina",93.15%,A,93.83,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,7,"Degeneres, Ellen",11,,"Howard, Jenna",95.22%,A,95.06,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,9,"Gomez, Selena",11,,"Howard, Jenna",93.91%,A,94.21,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,19,"Bachchan, Amitabh",11,,"Howard, Jenna",96.94%,A,95.97,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,24,"Winfrey, Oprah",11,,"Howard, Jenna",90.68%,A-,93.09,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,48,"Iniesta, Andrés",11,,"Petzold, Alexa",98.41%,A+,97.46,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,120,"Neto, Felipe",11,,"Casamento, Steven P",96.32%,A,95.61,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,169,"Khaled, Amr",11,,"Schneider, Cristina",98.21%,A+,97.51,A+
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,177,"Williams, Pharrell",11,,"Schneider, Cristina",95.14%,A,95.02,A
"Garretson, Danielle","AR5410/5 - Photography, MTRF, Per. 7 (FY)",Fine Arts,205,"Anthony, Carmelo",11,,"Schneider, Cristina",98.61%,A+,97.31,A
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,58,"Alia, Shaandaar",11,,"Petzold, Alexa",95.7%,A,94.9,A
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,63,"Piqué, Gerard",11,,"Petzold, Alexa",94.5%,A,94.1,A
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,77,"Bale, Gareth",11,,"Petzold, Alexa",93.94%,A,93.82,A
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,82,"Falcao, Radamel",11,,"Petzold, Alexa",98.65%,A+,96.93,A
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,141,"Bhagat, Chetan",11,,"Donnelly, Marin",95.38%,A,95.79,A
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,149,"Raymond, Usher",11,,"Donnelly, Marin",93.47%,A,93.69,A
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,178,"Maddow, Rachel",11,,"Schneider, Cristina",91.45%,A-,90.83,A-
"Garretson, Danielle","AR5410/6 - Photography, MWRF, Per. 4 (FY)",Fine Arts,207,"Montaner, Ricardo",11,,"Schneider, Cristina",91.47%,A-,87.89,B+
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTRF, Per. 3 (FY)",Fine Arts,3,"Fenti, Rihanna",11,,"Howard, Jenna",84.24%,B,85.62,B
