Teacher,Gradebook,Department,Student ID,Student Name,Grade Level,Team,Counselor,Full Year Average,Full Year Letter Grade,FG Average,FG Letter Grade
"Dinkey, John T","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,31,"Hart, Kevin",10,,"Petzold, Alexa",0%,A-,90.28,A-
"Dinkey, John T","AR5410/1 - Photography, MTWR, Per. 5 (FY)",Fine Arts,72,"Dicaprio, Leonardo",10,,"Casamento, Steven P",0%,A-,90.81,A-
"Garretson, Danielle","AR5410/4 - Photography, MWRF, Per. 8 (FY)",Fine Arts,75,"Rodríguez, James",10,,"Casamento, Steven P",0%,A-,90.8,A-
"Garretson, Danielle","AR5410/4 - Photography, MWRF, Per. 8 (FY)",Fine Arts,97,"O'Neill, Shaq",10,,"Casamento, Steven P",0%,A,94.3,A
"Garretson, Danielle","AR5410/4 - Photography, MWRF, Per. 8 (FY)",Fine Arts,203,"Alves, Daniel",10,,"Schneider, Cristina",0%,A,94.3,A
"Garretson, Danielle","AR5410/4 - Photography, MWRF, Per. 8 (FY)",Fine Arts,208,"Andriana, Raisa",10,,"Schneider, Cristina",0%,A,95.7,A
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,105,"Yılmaz, Cem",10,,"Casamento, Steven P",0%,A-,91.19,A-
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,123,"Viceral, Jose",10,,"Donnelly, Marin",0%,B+,86.97,B+
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,126,"Levine, Adam",10,,"Donnelly, Marin",0%,C+,78.93,C+
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,136,"Kapoor, Sonam",10,,"Donnelly, Marin",0%,A,93.05,A
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,173,"Corden, James",10,,"Schneider, Cristina",0%,B+,88.03,B+
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,176,"Williams, Serena",10,,"Schneider, Cristina",0%,A-,90.78,A-
"Dinkey, John T","AR6411/1 - Ceramics & Sculpture I, MTWR, Per. 1 (FY)",Fine Arts,193,"Oppenheimer, Robert",10,,"Schneider, Cristina",0%,A,96.61,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,56,"Carey, Mariah",10,,"Petzold, Alexa",0%,A,91.27,A-
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,74,"Ramos, Sergio",10,,"Casamento, Steven P",0%,A,94.11,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,88,"Hilton, Paris",10,,"Casamento, Steven P",0%,A,94.08,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,108,"Yankee, Daddy",10,,"Casamento, Steven P",0%,A,93.24,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,110,"Bryant, Kobe",10,,"Casamento, Steven P",0%,A,93.09,A
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,115,"Lima, Gusttavo",10,,"Casamento, Steven P",0%,B+,85.57,B
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,172,"Maher, Bill",10,,"Schneider, Cristina",0%,A-,90.78,A-
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,178,"Maddow, Rachel",10,,"Schneider, Cristina",0%,B+,86.46,B
"Dinkey, John T","AR6411/2 - Ceramics & Sculpture I, MTRF, Per. 7 (FY)",Fine Arts,192,"Jonas, Joe",10,,"Schneider, Cristina",0%,A,93.99,A
"Dinkey, John T","AR6412/1 - Studio Art I, MWRF, Per. 8 (FY)",Fine Arts,73,"Colbert, Stephen",10,,"Casamento, Steven P",0%,A+,96.54,A
"Dinkey, John T","AR6412/1 - Studio Art I, MWRF, Per. 8 (FY)",Fine Arts,156,"Hosny, Mustafa",10,,"Donnelly, Marin",0%,B+,87.64,B+
